scenario,variant,seed,what_happened,reconstructed,clock_source,clock_quality,collision_order,signs_detected,line_evidence,key_formal_violation,physical_contributors,normative_violation,responsibility_contributors,counterfactual_validation,main_limitation
S03,crash,2,collision: A-B,nodes 0.59 / edges 0.33,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),no signs in this scenario,no crossing reported,none failed (2 undecided),B,B (no property failed),B,not tested,"no replays, so but-for causation was neither established nor ruled out"
S04,yield,0,"no event: counterparty unresolved, 2 impact(s) with no counterparty resolved",nodes 0.34 / edges 0.10,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,no signs in this scenario,"solid line x3, lane marking x5",P1: a stop sign seen means a full stop before the line (+2 more),B,"A, B (P1, P3, P6)",B (A partial),not tested,"common time came from the experiment harness, not from the vehicles"
S04,yield,1,"no event: counterparty unresolved, 1 impact(s) with no counterparty resolved",nodes 0.32 / edges 0.09,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,no signs in this scenario,"solid line x3, lane marking x7",P1: a stop sign seen means a full stop before the line (+3 more),B,"A, B (P1, P3, P6, P8)",B (A partial),not tested,"common time came from the experiment harness, not from the vehicles"
S04,yield,2,"no event: counterparty unresolved, 2 impact(s) with no counterparty resolved",nodes 0.36 / edges 0.10,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,no signs in this scenario,"solid line x3, lane marking x5",P1: a stop sign seen means a full stop before the line (+3 more),B,"A, B (P1, P3, P6, P8)",B (A partial),not tested,"common time came from the experiment harness, not from the vehicles"
S05,crash,0,collision: A-B,nodes 0.53 / edges 0.43,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),no signs in this scenario,no crossing reported,none failed (3 undecided),"A, B","A, B (no property failed)","A, B",not tested,"no replays, so but-for causation was neither established nor ruled out"
S05,crash,1,collision: A-B,nodes 0.50 / edges 0.38,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),no signs in this scenario,no crossing reported,P4: no acceleration into a critical conflict,"A, B","A, B (P4)","A, B",not tested,"no replays, so but-for causation was neither established nor ruled out"
S05,crash,2,collision: A-B,nodes 0.53 / edges 0.42,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),no signs in this scenario,no crossing reported,none failed (2 undecided),"A, B","A, B (no property failed)","A, B",not tested,"no replays, so but-for causation was neither established nor ruled out"
S06,a_front_pushed,0,"collision: A-B, B-C",nodes 0.58 / edges 0.27,"A=contact, B=reference, C=radar",hybrid aligned (3 shared contacts); shared anchor,A-B then B-C (correct),no signs in this scenario,no crossing reported,P4: no acceleration into a critical conflict,"B, C",B (P4),B (C partial),not tested,"no replays, so but-for causation was neither established nor ruled out"
S06,a_front_pushed,1,"collision: A-B, B-C",nodes 0.58 / edges 0.27,"A=contact, B=reference, C=radar",hybrid aligned (3 shared contacts); shared anchor,A-B then B-C (correct),no signs in this scenario,no crossing reported,P4: no acceleration into a critical conflict,"B, C",B (P4),B (C partial),not tested,"no replays, so but-for causation was neither established nor ruled out"
S06,a_front_pushed,2,"collision: B-C, A-B, 1 impact(s) with no counterparty resolved",nodes 0.60 / edges 0.27,"A=contact, B=reference, C=contact",multi contact aligned (3 shared contacts); shared anchor,"B-C, A-B: order not established (C offset rests on a shared anchor); truth A-B then B-C 0.200 s apart",no signs in this scenario,no crossing reported,P4: no acceleration into a critical conflict,"B, C",B (P4),B (C partial),not tested,"no replays, so but-for causation was neither established nor ruled out"
S06,b_rear_first,0,"collision: B-C, A-B",nodes 0.55 / edges 0.34,"A=contact, B=reference, C=contact",multi contact aligned (2 shared contacts),B-C then A-B (correct),no signs in this scenario,no crossing reported,P4: no acceleration into a critical conflict,"B, C","A, B (P4)","B (A, C partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S06,b_rear_first,1,"collision: B-C, A-B",nodes 0.54 / edges 0.32,"A=contact, B=reference, C=contact",multi contact aligned (2 shared contacts),B-C then A-B (correct),no signs in this scenario,no crossing reported,P4: no acceleration into a critical conflict,"B, C",A (P4),"none supported (A, B, C partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S06,b_rear_first,2,"collision: B-C, A-B",nodes 0.56 / edges 0.32,"A=contact, B=reference, C=contact",multi contact aligned (2 shared contacts),B-C then A-B (correct),no signs in this scenario,no crossing reported,P4: no acceleration into a critical conflict,"B, C","A, B (P4)","B (A, C partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S07,full_view,0,collision: A-B,nodes 0.58 / edges 0.35,"A=reference, B=contact, C=radar",hybrid aligned (1 shared contact),single impact (A-B),no signs in this scenario,no crossing reported,P4: no acceleration into a critical conflict,"B, C",A (P4),"none supported (A, B, C partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S07,full_view,1,collision: A-B,nodes 0.58 / edges 0.35,"A=reference, B=contact, C=radar",hybrid aligned (1 shared contact),single impact (A-B),no signs in this scenario,no crossing reported,P4: no acceleration into a critical conflict,"B, C",A (P4),"none supported (A, B, C partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S07,full_view,2,collision: A-B,nodes 0.60 / edges 0.37,"A=reference, B=contact, C=radar",hybrid aligned (1 shared contact),single impact (A-B),no signs in this scenario,no crossing reported,none failed (2 undecided),"B, C",none observed,"none supported (B, C partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S07,occluded,0,collision: A-B,nodes 0.53 / edges 0.34,"A=reference, B=contact, C=radar",hybrid aligned (1 shared contact),single impact (A-B),no signs in this scenario,no crossing reported,P3: a critical time-to-collision gets a response (+1 more),"B, C","A (P3, P4)","none supported (A, B, C partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S07,occluded,1,collision: A-B,nodes 0.54 / edges 0.32,"A=reference, B=contact, C=radar",hybrid aligned (1 shared contact),single impact (A-B),no signs in this scenario,no crossing reported,P3: a critical time-to-collision gets a response (+1 more),"A, B, C","A (P3, P4)","A (B, C partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S07,occluded,2,collision: A-B,nodes 0.48 / edges 0.30,"A=reference, B=contact, C=radar",hybrid aligned (1 shared contact),single impact (A-B),no signs in this scenario,no crossing reported,P3: a critical time-to-collision gets a response (+1 more),"A, B, C","A (P3, P4)","A (B, C partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S08,crash,0,collision: A-B,nodes 0.55 / edges 0.35,"A=reference, B=contact, C=radar",hybrid aligned (1 shared contact),single impact (A-B),no signs in this scenario,no crossing reported,P8: a claimed missing braking response really had no response,"A, B, C","B, C (P8)","B (A, C partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S08,crash,1,collision: A-B,nodes 0.41 / edges 0.24,"A=reference, B=contact, C=unresolved",partially aligned (1 shared contact); C unresolved,single impact (A-B),no signs in this scenario,no crossing reported,none failed (3 undecided),"A, B",B (no property failed),B (A partial),not tested,"C could not be tied to the others, so nothing it recorded reaches the merged timeline"
S08,crash,2,collision: A-B,nodes 0.39 / edges 0.24,"A=reference, B=contact, C=unresolved",partially aligned (1 shared contact); C unresolved,single impact (A-B),no signs in this scenario,no crossing reported,none failed (3 undecided),B,B (no property failed),B,not tested,"C could not be tied to the others, so nothing it recorded reaches the merged timeline"
S09,merge_conflict,0,collision: A-B,nodes 0.59 / edges 0.27,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),no signs in this scenario,no crossing reported,P4: no acceleration into a critical conflict,"A, B",A (P4),A (B partial),not tested,"no replays, so but-for causation was neither established nor ruled out"
S09,merge_conflict,1,collision: A-B,nodes 0.59 / edges 0.29,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),no signs in this scenario,no crossing reported,P4: no acceleration into a critical conflict,"A, B",A (P4),A (B partial),not tested,"no replays, so but-for causation was neither established nor ruled out"
S09,merge_conflict,2,collision: A-B,nodes 0.64 / edges 0.29,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),no signs in this scenario,no crossing reported,none failed (3 undecided),"A, B",none observed,"none supported (A, B partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S10,rolls_through,0,collision: A-B,nodes 0.40 / edges 0.13,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),1/1 found (recall 1.00),no crossing reported,none failed (2 undecided),"A, B","A, B (no property failed)","A, B",not tested,"no replays, so but-for causation was neither established nor ruled out"
S10,rolls_through,1,collision: A-B,nodes 0.44 / edges 0.14,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),1/1 found (recall 1.00),no crossing reported,none failed (2 undecided),"A, B","A, B (no property failed)","A, B",not tested,"no replays, so but-for causation was neither established nor ruled out"
S10,rolls_through,2,collision: A-B,nodes 0.49 / edges 0.20,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),1/1 found (recall 1.00),"solid line x1, lane marking x1",P1: a stop sign seen means a full stop before the line (+1 more),"A, B","A, B (P1, P6)","A, B",not tested,"no replays, so but-for causation was neither established nor ruled out"
S10,stops_safely,0,no event,nodes 0.48 / edges 0.19,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,1/1 found (recall 1.00),no crossing reported,P3: a critical time-to-collision gets a response,"A, B",A (P3),"none supported (A, B partial)",not tested,"common time came from the experiment harness, not from the vehicles"
S10,stops_safely,1,no event,nodes 0.54 / edges 0.34,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,1/1 found (recall 1.00),no crossing reported,none,none,none observed,none supported,not tested,"common time came from the experiment harness, not from the vehicles"
S10,stops_safely,2,no event,nodes 0.49 / edges 0.22,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,1/1 found (recall 1.00),no crossing reported,P3: a critical time-to-collision gets a response,"A, B",A (P3),"none supported (A, B partial)",not tested,"common time came from the experiment harness, not from the vehicles"
S10,stops_then_proceeds,0,no event,nodes 0.38 / edges 0.11,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,1/1 found (recall 1.00),"solid line x1, lane marking x1",P3: a critical time-to-collision gets a response (+2 more),"A, B","A (P3, P4, P6)",A (B partial),not tested,"common time came from the experiment harness, not from the vehicles"
S10,stops_then_proceeds,1,no event,nodes 0.40 / edges 0.20,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,1/1 found (recall 1.00),"solid line x1, lane marking x1",P1: a stop sign seen means a full stop before the line (+1 more),none,"A (P1, P6)",none supported (A partial),not tested,"common time came from the experiment harness, not from the vehicles"
S10,stops_then_proceeds,2,no event,nodes 0.43 / edges 0.19,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,1/1 found (recall 1.00),"solid line x1, lane marking x1",P6: a solid line is not crossed,none,A (P6),none supported (A partial),not tested,"common time came from the experiment harness, not from the vehicles"
S11,rolls_through,0,collision: A-B,nodes 0.56 / edges 0.24,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),1/1 found (recall 1.00),no crossing reported,none failed (3 undecided),"A, B",A (no property failed),A (B partial),not tested,"no replays, so but-for causation was neither established nor ruled out"
S11,rolls_through,1,collision: A-B,nodes 0.48 / edges 0.21,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),1/1 found (recall 1.00),no crossing reported,none failed (2 undecided),"A, B","A, B (no property failed)","A, B",not tested,"no replays, so but-for causation was neither established nor ruled out"
S11,rolls_through,2,collision: A-B,nodes 0.49 / edges 0.23,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),1/1 found (recall 1.00),no crossing reported,none failed (2 undecided),"A, B","A, B (no property failed)","A, B",not tested,"no replays, so but-for causation was neither established nor ruled out"
S11,stops_safely,0,no event,nodes 0.50 / edges 0.29,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,1/1 found (recall 1.00),no crossing reported,none,none,none observed,none supported,not tested,"common time came from the experiment harness, not from the vehicles"
S11,stops_safely,1,no event,nodes 0.49 / edges 0.25,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,1/1 found (recall 1.00),no crossing reported,none,none,none observed,none supported,not tested,"common time came from the experiment harness, not from the vehicles"
S11,stops_safely,2,no event,nodes 0.49 / edges 0.26,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,1/1 found (recall 1.00),no crossing reported,none,none,none observed,none supported,not tested,"common time came from the experiment harness, not from the vehicles"
S11,stops_then_proceeds,0,no event,nodes 0.40 / edges 0.18,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,1/1 found (recall 1.00),"solid line x1, lane marking x1",P6: a solid line is not crossed,none,B (P6),none supported (B partial),not tested,"common time came from the experiment harness, not from the vehicles"
S11,stops_then_proceeds,1,no event,nodes 0.40 / edges 0.20,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,1/1 found (recall 1.00),"solid line x1, lane marking x1",P6: a solid line is not crossed,none,B (P6),none supported (B partial),not tested,"common time came from the experiment harness, not from the vehicles"
S11,stops_then_proceeds,2,no event,nodes 0.41 / edges 0.15,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,1/1 found (recall 1.00),"solid line x1, lane marking x1",P6: a solid line is not crossed,none,B (P6),none supported (B partial),not tested,"common time came from the experiment harness, not from the vehicles"
S12,a_arrives_first,0,no event,nodes 0.33 / edges 0.12,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,2/2 found (recall 1.00),lane marking x2,none,none,none observed,none supported,not tested,"common time came from the experiment harness, not from the vehicles"
S12,a_arrives_first,1,no event,nodes 0.33 / edges 0.12,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,2/2 found (recall 1.00),lane marking x2,none,none,none observed,none supported,not tested,"common time came from the experiment harness, not from the vehicles"
S12,a_arrives_first,2,no event,nodes 0.33 / edges 0.13,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,2/2 found (recall 1.00),lane marking x1,none,none,none observed,none supported,not tested,"common time came from the experiment harness, not from the vehicles"
S12,b_arrives_first,0,no event,nodes 0.38 / edges 0.17,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,2/2 found (recall 1.00),lane marking x2,none,none,none observed,none supported,not tested,"common time came from the experiment harness, not from the vehicles"
S12,b_arrives_first,1,no event,nodes 0.41 / edges 0.24,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,2/2 found (recall 1.00),lane marking x1,none,none,none observed,none supported,not tested,"common time came from the experiment harness, not from the vehicles"
S12,b_arrives_first,2,no event,nodes 0.37 / edges 0.18,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,2/2 found (recall 1.00),lane marking x1,none,none,none observed,none supported,not tested,"common time came from the experiment harness, not from the vehicles"
S12,b_fails_to_stop,0,collision: A-B,nodes 0.34 / edges 0.11,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),2/2 found (recall 1.00),no crossing reported,none failed (2 undecided),none,none observed,none supported,not tested,"no replays, so but-for causation was neither established nor ruled out"
S12,b_fails_to_stop,1,collision: A-B,nodes 0.35 / edges 0.19,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),2/2 found (recall 1.00),no crossing reported,none failed (2 undecided),none,none observed,none supported,not tested,"no replays, so but-for causation was neither established nor ruled out"
S12,b_fails_to_stop,2,collision: A-B,nodes 0.30 / edges 0.17,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),2/2 found (recall 1.00),no crossing reported,none failed (2 undecided),none,none observed,none supported,not tested,"no replays, so but-for causation was neither established nor ruled out"
S12,near_simultaneous,0,collision: A-B,nodes 0.38 / edges 0.15,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),2/2 found (recall 1.00),no crossing reported,none failed (2 undecided),none,none observed,none supported,not tested,"no replays, so but-for causation was neither established nor ruled out"
S12,near_simultaneous,1,collision: A-B,nodes 0.42 / edges 0.15,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),2/2 found (recall 1.00),no crossing reported,none failed (2 undecided),none,none observed,none supported,not tested,"no replays, so but-for causation was neither established nor ruled out"
S12,near_simultaneous,2,collision: A-B,nodes 0.41 / edges 0.17,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),2/2 found (recall 1.00),no crossing reported,none failed (2 undecided),none,none observed,none supported,not tested,"no replays, so but-for causation was neither established nor ruled out"
S13,accelerates_into_gap,0,collision: A-B,nodes 0.63 / edges 0.37,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),no signs in this scenario,lane marking x2,none failed (3 undecided),none,none observed,none supported,not tested,"no replays, so but-for causation was neither established nor ruled out"
S13,accelerates_into_gap,1,collision: A-B,nodes 0.43 / edges 0.26,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),no signs in this scenario,lane marking x2,P3: a critical time-to-collision gets a response,"A, B",A (P3),"none supported (A, B partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S13,accelerates_into_gap,2,collision: A-B,nodes 0.42 / edges 0.25,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),no signs in this scenario,lane marking x2,none failed (4 undecided),B,none observed,none supported (B partial),not tested,"no replays, so but-for causation was neither established nor ruled out"
S13,cut_in,0,collision: A-B,nodes 0.52 / edges 0.30,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),no signs in this scenario,lane marking x2,P3: a critical time-to-collision gets a response,A,A (P3),none supported (A partial),not tested,"no replays, so but-for causation was neither established nor ruled out"
S13,cut_in,1,collision: A-B,nodes 0.42 / edges 0.29,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),no signs in this scenario,lane marking x2,P3: a critical time-to-collision gets a response,"A, B",A (P3),"none supported (A, B partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S13,cut_in,2,collision: A-B,nodes 0.51 / edges 0.33,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),no signs in this scenario,lane marking x2,P3: a critical time-to-collision gets a response,A,A (P3),none supported (A partial),not tested,"no replays, so but-for causation was neither established nor ruled out"
S13,safe_lane_change,0,no event,nodes 0.33 / edges 0.10,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,no signs in this scenario,lane marking x2,P3: a critical time-to-collision gets a response,none,A (P3),none supported (A partial),not tested,"common time came from the experiment harness, not from the vehicles"
S13,safe_lane_change,1,no event,nodes 0.29 / edges 0.11,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,no signs in this scenario,lane marking x2,P3: a critical time-to-collision gets a response,none,A (P3),none supported (A partial),not tested,"common time came from the experiment harness, not from the vehicles"
S13,safe_lane_change,2,no event,nodes 0.21 / edges 0.12,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,no signs in this scenario,lane marking x2,P3: a critical time-to-collision gets a response,none,A (P3),none supported (A partial),not tested,"common time came from the experiment harness, not from the vehicles"
S14,b_hits_a_first,0,"collision: B-C, A-B, 1 impact(s) with no counterparty resolved",nodes 0.53 / edges 0.30,"A=contact, B=reference, C=radar",hybrid aligned (3 shared contacts); shared anchor,"B-C then A-B (WRONG, truth A-B then B-C)",no signs in this scenario,no crossing reported,P4: no acceleration into a critical conflict,"A, B, C","B, C (P4)","B, C (A partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S14,b_hits_a_first,1,"collision: A-B, B-C, 1 impact(s) with no counterparty resolved",nodes 0.49 / edges 0.26,"A=contact, B=reference, C=radar",hybrid aligned (3 shared contacts); shared anchor,A-B then B-C (correct),no signs in this scenario,lane marking x1,P4: no acceleration into a critical conflict,"A, B, C","B, C (P4)","B, C (A partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S14,b_hits_a_first,2,"collision: B-C, A-B, 1 impact(s) with no counterparty resolved",nodes 0.51 / edges 0.31,"A=contact, B=reference, C=radar",hybrid aligned (3 shared contacts); shared anchor,"B-C then A-B (WRONG, truth A-B then B-C)",no signs in this scenario,no crossing reported,P4: no acceleration into a critical conflict,"A, B, C","B, C (P4)","B, C (A partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S14,c_pushes_b,0,"collision: B-C, A-B",nodes 0.58 / edges 0.28,"A=contact, B=reference, C=contact",multi contact aligned (2 shared contacts),B-C then A-B (correct),no signs in this scenario,no crossing reported,P4: no acceleration into a critical conflict,"A, B, C",C (P4),"C (A, B partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S14,c_pushes_b,1,"collision: B-C, A-B",nodes 0.51 / edges 0.23,"A=radar, B=reference, C=contact",hybrid aligned (3 shared contacts); shared anchor,B-C then A-B (correct),no signs in this scenario,no crossing reported,P4: no acceleration into a critical conflict (+1 more),"A, B, C","B, C (P4, P7)","B, C (A partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S14,c_pushes_b,2,"collision: B-C, A-B",nodes 0.57 / edges 0.22,"A=contact, B=reference, C=contact",multi contact aligned (2 shared contacts),B-C then A-B (correct),no signs in this scenario,no crossing reported,P4: no acceleration into a critical conflict,"A, B, C",C (P4),"C (A, B partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S15,b_stops,0,near miss,nodes 0.39 / edges 0.21,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,1/1 found (recall 1.00),"solid line x1, lane marking x1",P1: a stop sign seen means a full stop before the line (+3 more),"B, C","A, B, C (P1, P3, P6, P8)","B (A, C partial)",not tested,"common time came from the experiment harness, not from the vehicles"
S15,b_stops,1,near miss,nodes 0.48 / edges 0.22,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,1/1 found (recall 1.00),"solid line x1, lane marking x1",P1: a stop sign seen means a full stop before the line (+3 more),"A, B, C","A, B, C (P1, P3, P6, P8)","B (A, C partial)",not tested,"common time came from the experiment harness, not from the vehicles"
S15,b_stops,2,near miss,nodes 0.39 / edges 0.18,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,1/1 found (recall 1.00),"solid line x1, lane marking x1",P1: a stop sign seen means a full stop before the line (+3 more),"B, C","A, B, C (P1, P3, P6, P8)","B (A, C partial)",not tested,"common time came from the experiment harness, not from the vehicles"
S15,deflected_into_c,0,"collision: A-B, A-C",nodes 0.41 / edges 0.16,"A=reference, B=contact, C=contact",multi contact aligned (3 shared contacts),A-B then A-C (correct),1/1 found (recall 1.00),"solid line x1, lane marking x1",P1: a stop sign seen means a full stop before the line (+1 more),"A, B, C","A, B, C (P1, P6)","A, B, C",not tested,"no replays, so but-for causation was neither established nor ruled out"
S15,deflected_into_c,1,"collision: A-B, A-C",nodes 0.50 / edges 0.24,"A=reference, B=contact, C=contact",multi contact aligned (2 shared contacts),A-B then A-C (correct),1/1 found (recall 1.00),"solid line x1, lane marking x1",P1: a stop sign seen means a full stop before the line (+1 more),"A, B, C","A, B (P1, P6)","A, B (C partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S15,deflected_into_c,2,"collision: A-B, A-C",nodes 0.47 / edges 0.18,"A=reference, B=contact, C=contact",multi contact aligned (3 shared contacts),A-B then A-C (correct),1/1 found (recall 1.00),"solid line x1, lane marking x1",P1: a stop sign seen means a full stop before the line (+1 more),"A, B, C","B (P1, P6)","B (A, C partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S15,single_impact,0,collision: A-B,nodes 0.40 / edges 0.16,"A=reference, B=contact, C=radar",hybrid aligned (1 shared contact),single impact (A-B),1/1 found (recall 1.00),"solid line x1, lane marking x1",P1: a stop sign seen means a full stop before the line (+1 more),"A, B","A, B (P1, P6)","A, B",not tested,"no replays, so but-for causation was neither established nor ruled out"
S15,single_impact,1,collision: A-B,nodes 0.34 / edges 0.14,"A=reference, B=contact, C=unresolved",partially aligned (1 shared contact); C unresolved,single impact (A-B),1/1 found (recall 1.00),"solid line x1, lane marking x1",P1: a stop sign seen means a full stop before the line (+1 more),"A, B","A, B (P1, P6)","A, B",not tested,"C could not be tied to the others, so nothing it recorded reaches the merged timeline"
